"Review.Text","Division.Name","Department.Name","Class.Name","Clothing.ID","Rating","review_index","model","prompting","prompt_version","sentiment","feedback_category","urgency","summary","personalised_message","retail_insight","valid_json","response_time_seconds","input_tokens","output_tokens","total_tokens","estimated_cost_usd","judge_model","judge_score","judge_reason","judge_valid_json","judge_response_time_seconds","judge_input_tokens","judge_output_tokens","judge_total_tokens","judge_estimated_cost_usd","source_result_file","experiment_id","local_sentiment_score","local_category_score","local_urgency_score","local_summary_score","local_message_score","local_insight_score","local_consistency_score","local_critical_errors","local_critical_error_count","local_judge_score","local_judge_reason","local_judge_valid_json","local_judge_response_time_seconds","local_judge_input_tokens","local_judge_output_tokens","local_judge_total_tokens","local_judge_total_duration_seconds","local_judge_load_duration_seconds","local_judge_estimated_cost_usd","local_judge_raw_output"
"This sweater is so beautiful on. it is thick material, but does not make you look boxy. it fits so nicely and is flattering. the design is just gorgeous. if you are considering this sweater-- get it, you won't regret it! i'm normally a small (4-6) and i ordered a small. it fits true to size. the fit is *perfect* so if you want it slightly more relaxed, order one size up.","General","Tops","Sweaters","948","5","13365","GPT-4o mini","Zero-Shot","V1","Positive","Fit","Low","The customer loves the sweater's beautiful design and flattering fit, recommending it to others.","Thank you for your wonderful feedback! We're thrilled to hear that you love the sweater and found the fit to be perfect.","Highlight the flattering fit and beautiful design in marketing materials to attract more customers.","True","1.3756007189999764","294","102","396","0.0001052999999999","GPT-4o mini","0.81","The sentiment classification is consistent with the positive nature of the review. The feedback category 'Fit' accurately represents the main type of feedback. The urgency is appropriately low given the positive review. The summary captures the main points without inventing information. The personalized message is relevant and aligns with the customer's sentiment. The retail insight is actionable and useful for marketing. Overall, the outputs are coherent with each other and the original review.","True","1.4223790660003033","593","102","695","0.00015015","results_zero_shot_final.csv","13365 | GPT-4o mini | Zero-Shot | V1","1.0","1.0","1.0","0.95","0.95","0.95","0.98","[]","0","0.95","All components accurately reflect the positive review, with minor room for improvement in summary detail and message depth.","True","7.915281421000145","1393","210","1603","7.909805985","0.011253316","0.0","{
  ""sentiment_score"": 1.0,
  ""category_score"": 1.0,
  ""urgency_score"": 1.0,
  ""summary_score"": 0.95,
  ""message_score"": 0.95,
  ""insight_score"": 0.95,
  ""consistency_score"": 0.98,
  ""critical_errors"": [],
  ""judge_score"": 0.95,
  ""judge_reason"": ""All components accurately reflect the positive review, with minor room for improvement in summary detail and message depth.""
}"
"This sweater is so beautiful on. it is thick material, but does not make you look boxy. it fits so nicely and is flattering. the design is just gorgeous. if you are considering this sweater-- get it, you won't regret it! i'm normally a small (4-6) and i ordered a small. it fits true to size. the fit is *perfect* so if you want it slightly more relaxed, order one size up.","General","Tops","Sweaters","948","5","13365","GPT-4o mini","Zero-Shot","V2","Positive","Fit","Low","The customer is very pleased with the sweater's fit, quality, and design, recommending it to others.","Thank you for your wonderful feedback! We're thrilled to hear that the sweater fits perfectly and that you love the design. Your recommendation means a lot to us!","Highlight the fit and flattering design of the sweater in marketing materials to attract more customers.","True","1.9712335749995875","612","115","727","0.0001608","GPT-4o mini","0.81","The sentiment classification is consistent with the positive tone of the review. The feedback category 'Fit' accurately represents the main focus of the customer's feedback. The urgency is appropriately low given the positive nature of the review. The summary captures the main points without inventing information. The personalized message is relevant and aligns with the customer's sentiment. The retail insight is actionable and relevant for marketing. Overall, the outputs are coherent with each other and the original review.","True","1.3582678799998575","606","107","713","0.0001551","results_zero_shot_final.csv","13365 | GPT-4o mini | Zero-Shot | V2","1.0","1.0","1.0","0.9","1.0","1.0","1.0","[]","0","0.9","All components accurately reflect the review; only a minor over‑generalization in the summary reduces its fidelity slightly.","True","14.917367325999294","1406","412","1818","14.914717023","0.001381718","0.0","{
  ""sentiment_score"": 1.0,
  ""category_score"": 1.0,
  ""urgency_score"": 1.0,
  ""summary_score"": 0.9,
  ""message_score"": 1.0,
  ""insight_score"": 1.0,
  ""consistency_score"": 1.0,
  ""critical_errors"": [],
  ""judge_score"": 0.9,
  ""judge_reason"": ""All components accurately reflect the review; only a minor over‑generalization in the summary reduces its fidelity slightly.""
}"
"This sweater is so beautiful on. it is thick material, but does not make you look boxy. it fits so nicely and is flattering. the design is just gorgeous. if you are considering this sweater-- get it, you won't regret it! i'm normally a small (4-6) and i ordered a small. it fits true to size. the fit is *perfect* so if you want it slightly more relaxed, order one size up.","General","Tops","Sweaters","948","5","13365","Gemini 3.1 Flash-Lite","Zero-Shot","V1","Positive","Fit","Low","The customer is highly satisfied with the sweater, noting that the material is high-quality, the design is flattering, and the sizing is true to size.","Thank you so much for your wonderful review! We are thrilled to hear that you love the fit and design of your new sweater. We appreciate you sharing your sizing advice with other customers!","The product is performing well; consider highlighting the 'true to size' fit in product descriptions or marketing materials to help reduce sizing-related returns.","True","0.927734915000201","324","149","473","0.0003045","GPT-4o mini","0.81","The sentiment classification is consistent with the customer's positive review. The feedback category 'Fit' accurately represents the main type of feedback. The urgency is appropriately low given the positive nature of the review. The summary captures the main points without inventing information. The personalized message is relevant and aligns with the customer's sentiment. The retail insight is actionable and useful for the business. Overall, the outputs are coherent with each other and the original review.","True","1.6610657460000766","632","104","736","0.0001571999999999","results_zero_shot_final.csv","13365 | Gemini 3.1 Flash-Lite | Zero-Shot | V1","1.0","1.0","1.0","0.8","1.0","1.0","1.0","[]","0","0.8","All components are largely accurate; the summary slightly overstates material quality, lowering its fidelity score.","True","11.04921590399954","1432","323","1755","11.046679881","0.001108827","0.0","{
  ""sentiment_score"": 1.0,
  ""category_score"": 1.0,
  ""urgency_score"": 1.0,
  ""summary_score"": 0.8,
  ""message_score"": 1.0,
  ""insight_score"": 1.0,
  ""consistency_score"": 1.0,
  ""critical_errors"": [],
  ""judge_score"": 0.8,
  ""judge_reason"": ""All components are largely accurate; the summary slightly overstates material quality, lowering its fidelity score.""
}"
"This sweater is so beautiful on. it is thick material, but does not make you look boxy. it fits so nicely and is flattering. the design is just gorgeous. if you are considering this sweater-- get it, you won't regret it! i'm normally a small (4-6) and i ordered a small. it fits true to size. the fit is *perfect* so if you want it slightly more relaxed, order one size up.","General","Tops","Sweaters","948","5","13365","Gemini 3.1 Flash-Lite","Zero-Shot","V2","Positive","Fit","Low","The customer is highly satisfied with the sweater, noting its flattering fit, high-quality material, and accurate sizing.","Thank you so much for your wonderful feedback! We are thrilled to hear that you love the design and fit of your new sweater. We appreciate you sharing your sizing tips with our community!","Since customers appreciate the flattering, non-boxy silhouette of this item, consider highlighting these specific design benefits in product descriptions to drive further conversions.","True","0.9613368569998784","673","140","813","0.00037825","GPT-4o mini","0.81","The sentiment classification is consistent with the customer's positive review. The feedback category 'Fit' accurately represents the main type of feedback. The urgency is appropriately low given the positive nature of the review. The summary captures the main points without inventing information. The personalized message is relevant and aligns with the customer's sentiment. The retail insight is actionable and useful for the business. Overall, the outputs are coherent with each other and the original review.","True","1.309585517999949","624","104","728","0.000156","results_zero_shot_final.csv","13365 | Gemini 3.1 Flash-Lite | Zero-Shot | V2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","[]","0","1.0","All components accurately reflect the review with no omissions or contradictions.","True","9.255789150000057","1424","321","1745","9.253122241","0.00109957","0.0","{
  ""sentiment_score"": 1.0,
  ""category_score"": 1.0,
  ""urgency_score"": 1.0,
  ""summary_score"": 1.0,
  ""message_score"": 1.0,
  ""insight_score"": 1.0,
  ""consistency_score"": 1.0,
  ""critical_errors"": [],
  ""judge_score"": 1.0,
  ""judge_reason"": ""All components accurately reflect the review with no omissions or contradictions.""
}"
"This piece is almost what i want... i tried on the white version in an xs and it felt a little too large for me, even though it's meant to be a looser fit. the buttercup yellow behind the lace is very pretty - i especially love that part of this tank. it provides a nice contrast and allows the detail to stand out. the navy is also nice (it was on display next to the white and looks better in person than online). what i didn't like was the texture of the spandex on the back portion. it looks like","General","Tops","Knits","875","4","19834","GPT-4o mini","Zero-Shot","V1","Neutral","Fit","Medium","The customer appreciates the design and color contrast of the tank but finds the fit slightly large and dislikes the texture of the spandex on the back.","Thank you for your feedback! We're glad you love the design and color contrast of the tank. We'll take your comments about the fit and texture into consideration.","Consider providing detailed fit guides and texture descriptions to help customers make informed choices.","True","1.5996007659996394","315","121","436","0.00011985","GPT-4o mini","0.61","The sentiment classification as 'Neutral' is somewhat inconsistent with the customer's mixed feelings, as they express both appreciation and dissatisfaction. The feedback category 'Fit' is appropriate, and the urgency level is reasonable given the feedback. The summary accurately captures the main points without inventing information. The personalized message is relevant and aligns with the customer's sentiment. The retail insight is actionable and useful. Overall, the outputs are mostly coherent with each other and the original review, but the sentiment classification could be improved.","True","1.4134303880000516","634","116","750","0.0001647","results_zero_shot_final.csv","19834 | GPT-4o mini | Zero-Shot | V1","0.95","0.95","0.9","0.95","0.95","0.9","0.95","[]","0","0.92","The analysis accurately captures the mixed sentiment, correctly identifies fit as the primary issue, assigns a reasonable medium urgency, and provides a faithful summary, relevant message, and actionable insight. Minor room for improvement in urgency justification.","True","8.75527799899919","1434","274","1708","8.752009066","0.001641975","0.0","{
  ""sentiment_score"": 0.95,
  ""category_score"": 0.95,
  ""urgency_score"": 0.90,
  ""summary_score"": 0.95,
  ""message_score"": 0.95,
  ""insight_score"": 0.90,
  ""consistency_score"": 0.95,
  ""critical_errors"": [],
  ""judge_score"": 0.92,
  ""judge_reason"": ""The analysis accurately captures the mixed sentiment, correctly identifies fit as the primary issue, assigns a reasonable medium urgency, and provides a faithful summary, relevant message, and actionable insight. Minor room for improvement in urgency justification.""
}"
"This piece is almost what i want... i tried on the white version in an xs and it felt a little too large for me, even though it's meant to be a looser fit. the buttercup yellow behind the lace is very pretty - i especially love that part of this tank. it provides a nice contrast and allows the detail to stand out. the navy is also nice (it was on display next to the white and looks better in person than online). what i didn't like was the texture of the spandex on the back portion. it looks like","General","Tops","Knits","875","4","19834","GPT-4o mini","Zero-Shot","V2","Neutral","Fit","Medium","The customer finds the fit of the white version slightly large and dislikes the texture of the spandex on the back, but appreciates the color and design details.","Thank you for your feedback! We're glad you love the color and design details of the tank. We appreciate your input on the fit and texture, and we'll take it into consideration for future improvements.","Consider providing more detailed sizing information and fabric descriptions to help customers make informed choices.","True","1.7006463519996942","633","132","765","0.0001741499999999","GPT-4o mini","0.61","The sentiment classification as 'Neutral' is somewhat inconsistent with the customer's mixed feelings, which include positive aspects. The feedback category 'Fit' is appropriate, and the urgency level is reasonable. The summary captures the main points but could emphasize the positive aspects more. The personalized message is relevant and supportive, while the retail insight is actionable. Overall, the outputs are mostly coherent but have minor weaknesses in sentiment and summary emphasis.","True","1.4248505110003862","645","101","746","0.00015735","results_zero_shot_final.csv","19834 | GPT-4o mini | Zero-Shot | V2","0.95","0.95","0.9","0.95","0.95","0.9","0.95","[]","0","0.92","The analysis accurately reflects the review’s mixed sentiment, correctly identifies fit as the primary issue, assigns a reasonable medium urgency, and provides a faithful summary, relevant message, and actionable insight. Minor room for improvement in urgency justification.","True","7.033594589999666","1445","245","1690","7.030865242","0.001485274","0.0","{
  ""sentiment_score"": 0.95,
  ""category_score"": 0.95,
  ""urgency_score"": 0.90,
  ""summary_score"": 0.95,
  ""message_score"": 0.95,
  ""insight_score"": 0.90,
  ""consistency_score"": 0.95,
  ""critical_errors"": [],
  ""judge_score"": 0.92,
  ""judge_reason"": ""The analysis accurately reflects the review’s mixed sentiment, correctly identifies fit as the primary issue, assigns a reasonable medium urgency, and provides a faithful summary, relevant message, and actionable insight. Minor room for improvement in urgency justification.""
}"
"This piece is almost what i want... i tried on the white version in an xs and it felt a little too large for me, even though it's meant to be a looser fit. the buttercup yellow behind the lace is very pretty - i especially love that part of this tank. it provides a nice contrast and allows the detail to stand out. the navy is also nice (it was on display next to the white and looks better in person than online). what i didn't like was the texture of the spandex on the back portion. it looks like","General","Tops","Knits","875","4","19834","Gemini 3.1 Flash-Lite","Zero-Shot","V1","Negative","Fit","Low","The customer appreciates the aesthetic design and color contrast of the tank top but is dissatisfied with the sizing consistency and the texture of the spandex material on the back.","Thank you for your detailed feedback! We're so glad you love the buttercup yellow lace detail, but we're sorry to hear the fit and fabric texture didn't meet your expectations. We value your input as it helps us improve our future designs.","Review sizing specifications for the 'loose fit' range, as customers are finding the XS runs larger than expected, and evaluate the fabric choice for the back panel to ensure it meets quality standards.","True","1.1020957279997674","343","174","517","0.00034675","GPT-4o mini","0.61","The sentiment classification as 'Negative' is inconsistent with the customer's overall positive remarks about the design and color, although it does mention dissatisfaction with fit and texture. The feedback category 'Fit' is appropriate, and the urgency is correctly assessed as low. The summary captures the main points but could be more balanced in reflecting the positive aspects. The personalized message is relevant and acknowledges the customer's feedback well. The retail insight is actionable and relevant. Overall, while there are strengths, the sentiment misclassification and summary balance lead to a score reflecting good quality with minor weaknesses.","True","1.866608966000058","677","129","806","0.0001789499999999","results_zero_shot_final.csv","19834 | Gemini 3.1 Flash-Lite | Zero-Shot | V1","0.95","0.95","0.9","0.95","0.9","0.9","0.95","[]","0","0.92","The analysis accurately captures the mixed sentiment, correctly identifies fit as the primary issue, assigns appropriate low urgency, and provides a faithful summary, relevant personalized response, and actionable retail insight. Minor room for improvement in urgency and message nuance.","True","12.710022499999468","1477","442","1919","12.707104865","0.001568265","0.0","{
  ""sentiment_score"": 0.95,
  ""category_score"": 0.95,
  ""urgency_score"": 0.90,
  ""summary_score"": 0.95,
  ""message_score"": 0.90,
  ""insight_score"": 0.90,
  ""consistency_score"": 0.95,
  ""critical_errors"": [],
  ""judge_score"": 0.92,
  ""judge_reason"": ""The analysis accurately captures the mixed sentiment, correctly identifies fit as the primary issue, assigns appropriate low urgency, and provides a faithful summary, relevant personalized response, and actionable retail insight. Minor room for improvement in urgency and message nuance.""
}"
"This piece is almost what i want... i tried on the white version in an xs and it felt a little too large for me, even though it's meant to be a looser fit. the buttercup yellow behind the lace is very pretty - i especially love that part of this tank. it provides a nice contrast and allows the detail to stand out. the navy is also nice (it was on display next to the white and looks better in person than online). what i didn't like was the texture of the spandex on the back portion. it looks like","General","Tops","Knits","875","4","19834","Gemini 3.1 Flash-Lite","Zero-Shot","V2","Negative","Quality","Medium","The customer appreciates the design and color contrast of the tank top but finds the fit too large and dislikes the texture of the spandex material on the back.","Thank you for sharing your detailed feedback with us. We're so glad you love the buttercup yellow lace detail, but we're sorry to hear that the fit and the texture of the back panel didn't meet your expectations. We value your input as it helps us improve our future designs.","Review the material composition and texture of the spandex back panels in current tank top designs, as customers may find the tactile quality inconsistent with the premium aesthetic of the lace front.","True","1.0294858550000754","692","177","869","0.0004385","GPT-4o mini","0.61","The sentiment classification as 'Negative' is inconsistent with the customer's overall positive remarks about the design and color. The feedback category 'Quality' is appropriate, but the urgency level could be lower given the customer's mixed feelings. The summary captures the main points accurately without inventing information. The personalized message is relevant and acknowledges the customer's sentiments. The retail insight is actionable and relevant. Overall, there are minor inconsistencies, but the response is mostly correct and useful.","True","1.5020606030002457","680","109","789","0.0001674","results_zero_shot_final.csv","19834 | Gemini 3.1 Flash-Lite | Zero-Shot | V2","0.0","0.0","0.5","0.8","0.8","0.7","0.3","[""Sentiment label is incorrect; the review expresses mixed feelings but is not predominantly negative."", ""Feedback category is incorrect; the primary issue is fit and texture, which belongs to the 'Fit' category, not 'Quality'.""]","2","0.4","The analysis mislabels sentiment and category, which are critical errors. Other components are reasonably accurate but overall coherence is weakened.","True","13.207022208000126","1480","416","1896","13.204359963","0.001212777","0.0","{
  ""sentiment_score"": 0.0,
  ""category_score"": 0.0,
  ""urgency_score"": 0.5,
  ""summary_score"": 0.8,
  ""message_score"": 0.8,
  ""insight_score"": 0.7,
  ""consistency_score"": 0.3,
  ""critical_errors"": [
    ""Sentiment label is incorrect; the review expresses mixed feelings but is not predominantly negative."",
    ""Feedback category is incorrect; the primary issue is fit and texture, which belongs to the 'Fit' category, not 'Quality'.""
  ],
  ""judge_score"": 0.4,
  ""judge_reason"": ""The analysis mislabels sentiment and category, which are critical errors. Other components are reasonably accurate but overall coherence is weakened.""
}"
"Really like this blouse but am returning for a larger size. much too tight in the upper arms and somewhat tight in the chest - overall i like it.","General","Tops","Blouses","829","4","18722","GPT-4o mini","Zero-Shot","V1","Positive","Fit","Medium","The customer likes the blouse but is returning it for a larger size due to tightness in the upper arms and chest.","Thank you for your feedback! We're glad you like the blouse and hope the larger size fits perfectly.","Consider offering more size options or a size guide to help customers find the right fit.","True","1.6367929570001252","234","107","341","9.93e-05","GPT-4o mini","0.81","The sentiment classification is consistent with the customer's review, as they express a positive feeling towards the blouse despite the need for a larger size. The feedback category 'Fit' accurately represents the main issue. The urgency is appropriate given the customer's situation of returning the item. The summary captures the main feedback accurately without inventing information. The personalized message is relevant and aligns with the customer's sentiment. The retail insight is actionable and useful for the business. Overall, the outputs are coherent with each other and the original review.","True","1.443337048000103","538","119","657","0.0001521","results_zero_shot_final.csv","18722 | GPT-4o mini | Zero-Shot | V1","1.0","1.0","0.3","1.0","1.0","1.0","1.0","[]","0","0.3","The analysis correctly identifies sentiment, category, summary, message, and insight, but assigns an unjustified Medium urgency level, lowering overall usefulness.","True","12.465574300999831","1338","364","1702","12.462515321","0.001672916","0.0","{
  ""sentiment_score"": 1.0,
  ""category_score"": 1.0,
  ""urgency_score"": 0.3,
  ""summary_score"": 1.0,
  ""message_score"": 1.0,
  ""insight_score"": 1.0,
  ""consistency_score"": 1.0,
  ""critical_errors"": [],
  ""judge_score"": 0.3,
  ""judge_reason"": ""The analysis correctly identifies sentiment, category, summary, message, and insight, but assigns an unjustified Medium urgency level, lowering overall usefulness.""
}"
"Really like this blouse but am returning for a larger size. much too tight in the upper arms and somewhat tight in the chest - overall i like it.","General","Tops","Blouses","829","4","18722","GPT-4o mini","Zero-Shot","V2","Positive","Fit","Medium","The customer likes the blouse but is returning it due to a tight fit in the upper arms and chest.","Thank you for your feedback! We're glad to hear you like the blouse and appreciate your decision to exchange it for a larger size. We hope the new fit works perfectly for you!","Consider offering a size guide or fit recommendations to help customers choose the right size and reduce return rates.","True","1.679934812999818","552","123","675","0.0001566","GPT-4o mini","0.61","The sentiment classification is mostly consistent with the review, but the positive sentiment may overlook the customer's need to return the item. The feedback category 'Fit' is appropriate. The urgency level is reasonable given the return situation. The summary accurately captures the main feedback without adding information. The personalized message is relevant and supportive, aligning with the customer's sentiment. The retail insight is actionable and useful. Overall, the outputs are coherent, but the sentiment could be more nuanced.","True","1.222251871000026","554","109","663","0.0001485","results_zero_shot_final.csv","18722 | GPT-4o mini | Zero-Shot | V2","1.0","1.0","0.5","1.0","1.0","1.0","1.0","[]","0","0.5","All components are accurate except the urgency level, which is overstated; the rest are correct and coherent.","True","14.580239394000271","1354","467","1821","14.577516968","0.001484029","0.0","{
  ""sentiment_score"": 1.0,
  ""category_score"": 1.0,
  ""urgency_score"": 0.5,
  ""summary_score"": 1.0,
  ""message_score"": 1.0,
  ""insight_score"": 1.0,
  ""consistency_score"": 1.0,
  ""critical_errors"": [],
  ""judge_score"": 0.5,
  ""judge_reason"": ""All components are accurate except the urgency level, which is overstated; the rest are correct and coherent.""
}"
